"team","week","Prob"
"SF",15,0.411274206345119
"TB",15,0.538709040820501
"TEN",15,0.415622380153999
"WAS",15,0.399769365561537
"ARZ",16,0.327157395373919
"ATL",16,0.573984067907389
"BAL",16,0.572869233730261
"BUF",16,0.1994121957209
"CAR",16,0.355155296024282
"CHI",16,0.359744622449217
"CIN",16,0.518053862266592
"CLE",16,0.427130766269739
"DAL",16,0.353782163088739
"DEN",16,0.67657459326812
"DET",16,0.32342540673188
"GB",16,0.372171367588818
"HOU",16,0.679195981437533
"IND",16,0.644844703975718
"JAX",16,0.426015932092611
"KC",16,0.640255377550783
"LAC",16,0.813761027922437
"LAR",16,0.814090371676647
"MIA",16,0.481946137733408
"MIN",16,0.627828632411182
"NE",16,0.8005878042791
"NO",16,0.696676963826979
"NYG",16,0.611643524402072
"NYJ",16,0.37608993920607
"OAK",16,0.186238972077563
"PHI",16,0.646217836911261
"PIT",16,0.62391006079393
"SEA",16,0.672842604626081
"SF",16,0.185909628323353
"TB",16,0.320804018562467
"TEN",16,0.303323036173021
"WAS",16,0.388356475597928
"ARZ",17,0.258907929835994
"ATL",17,0.55750943671304
"BAL",17,0.605859396800502
"BUF",17,0.527028516159316
"CAR",17,0.259122557950116
"CHI",17,0.60661338945757
"CIN",17,0.450060755578077
"CLE",17,0.549939244421923
"DAL",17,0.650266347758449
"DEN",17,0.75402936621039
"DET",17,0.433917414573847
"GB",17,0.566082585426153
"HOU",17,0.667791938912043
"IND",17,0.696013663171812
"JAX",17,0.303986336828188
"KC",17,0.583813372405235
"LAC",17,0.416186627594765
"LAR",17,0.741092070164006
"MIA",17,0.223274988023174
"MIN",17,0.39338661054243
"NE",17,0.776725011976826
"NO",17,0.740877442049884
"NYG",17,0.542716671745139
"NYJ",17,0.472971483840684
"OAK",17,0.24597063378961
"PHI",17,0.457283328254861
"PIT",17,0.394140603199498
"SEA",17,0.748754273074583
"SF",17,0.251245726925417
"TB",17,0.44249056328696
"TEN",17,0.332208061087957
"WAS",17,0.349733652241551
